id	name	surname	birth_date	nationality	birthplace	sex	school	description	picture	biography
OLIVIER_BOUYGUES	Bouygues	Olivier	14/09/1950	France	Suresnes	M	ENSPM	Olivier Bouygues  né le 14 septembre 1950  est fils de Francis Bouygues et Directeur Général délégué du groupe Bouygues depuis 2002.	http://images.forbes.com/media/lists/10/2010/martin-olivier-bouygues.jpg	http://fr.wikipedia.org/wiki/Olivier_Bouygues
DANIEL_CAMUS	Camus	Daniel		France		M	HEC	Gérard Blanc is Chairman and CEO of Marignac Gestion S.A.S. and a director of Sogeclair.	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/Blanc.jpg	http://www.valeo.com/en/the-group/governance/gerard-blanc.html
ROBERT_CASTAIGNE	Castaigne	Robert		France		M	École centrale de Lille	Mr. Robert Castaigne served as the Chief Financial Officer of Total SA (formerly  Total Fina Elf S.A.) from 1994 to June 1  2008  Officer since 1990 and also served as its Executive Vice President until June 1  2008. Mr. Castaigne started his career at TOTAL in 1972  where he served as an Engineer since January 1  1972 and as Departmental Head within the Economic Division until 1977.	http://www.societegenerale.mc/sites/default/files/styles/gouvernance_details/public/r_castaigne_1.jpg	http://en.wikipedia.org/wiki/Robert_Castaigne
JEAN_LOU_CHAMEAU	Chameau	Jean-Lou		France		M	Arts et Métiers ParisTech - Stanford University	Jean-Lou Chameau (born 1953) is a French civil engineer and a former president of the California Institute of Technology. Previously he served as a provost of the Georgia Institute of Technology.	https://engineering.purdue.edu/CE/AboutUs/News/Features/JeanLouChameauPresidentofCaltechfeaturedat6thLeonar/chameau_lowres.jpg	http://en.wikipedia.org/wiki/Jean-Lou_Chameau
JEAN_PAUL_CHIFFLET	Chifflet	Jean-Paul	17/06/1949	France	Tournon-sur-Rhône	M	Institut des hautes finances de Paris	Jean-Paul Chifflet  né le 17 juin 1949 à Tournon-sur-Rhône (Ardèche)  est un banquier français. Présent dans le groupe Crédit agricole depuis les années 1970  il a évolué dans quatre Caisses régionales  ce qui lui vaut d'être considéré comme un « pur produit » des Caisses régionales. En mars 2010  il devient directeur général de Crédit agricole S.A.. Il est également Président du conseil d'administration de LCL et de Crédit agricole Corporate and Investment Bank.	https://pbs.twimg.com/profile_images/1597419504/jean_paul_chifflet.jpg	http://fr.wikipedia.org/wiki/Jean-Paul_Chifflet
GEORGES_CHODRON_DE_COURCEL	Chodron de Courcel	Georges				M				
JEAN_PIERRE_CLAMADIEU	Clamadieu	Jean-Pierre	15/08/1958	France		M	Mines ParisTech	Jean-Pierre Clamadieu  is a French businessman. He has been Chairman of the Board and Chief Executive Officer of Rhodia  a French chemical company acquired and integrated into the Belgian group Solvay in September 2011.	http://www.chemanager-online.com/sites/chemanager-online.com/files/images/special/12905004_preview.jpg	http://fr.wikipedia.org/wiki/Jean-Pierre_Clamadieu
MONIQUE_COHEN	Cohen	Monique		France		F	École Polytechnique	Monique Cohen a rejoint Apax Partners en 2000. Elle est responsable des investissements dans le secteur des Services aux Entreprises & Services Financiers et Santé. Elle supervise également l'activité Business Development.	http://media.corporate-ir.net/media_files/IROL/12/129877/M-Cohen-@GD.JPG	http://www.apax.fr/fr/equipe/equipe/3-monique-cohen.html
PASCAL_COLOMBANI	Colombani	Pascal		France		M	Sciences Po Paris	Daniel Camus is Chief Financial Officer of The Global Fund. He is a member of the Supervisory Boards of Morphosys AG (Germany)  SGL Group SE (Germany)  Cameco Corp. (Canada) and Vivendi SA. He was Senior Advisor at Roland Berger Strategy Consultants up to 2012.	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/Camus.jpg	http://www.valeo.com/en/the-group/governance/daniel-camus.html
JEROME_CONTAMINE	Contamine	Jérôme		France		M	École Polytechnique - EN	Jérôme Contamine has been Executive Vice-President and Chief Financial Officer of Sanofi since March 16  2009.	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/Contamine.jpg	http://www.valeo.com/en/the-group/governance/jerome-contamine.html
YSEULYS_COSTES	Costes	Yseulys	5/12/1972	France		F	Paris IX Dauphine	Mme Yseulys Costes  née le 5 décembre 1972  est diplômée du magistère de sciences de gestion et du D.E.A. de Marketing et Stratégie de l’université Paris IX Dauphine. Chercheur en marketing interactif  elle a été reçue à la Harvard Business School (États-Unis) et enseigne le marketing interactif dans plusieurs établissements (HEC  ESSEC  université Paris IX Dauphine).	http://www.journaldesfemmes.com/people/evenements/selection/10-personnalites-prometteuses/images/yseulys-costes-300.jpg	
FRANS_CREMERS	Cremers	Frans	1952	Dutch		M	Erasmus University Rotterdam	Member of Unibail-Rodamco's Supervisory Board and its Audit Committee since June 25  2007. Former member of the Rodamco Europe N.V.'s Supervisory Board (2004-2007). Former CFO and member of the Executive Board of VNU N.V. Before joining VNU  he had a long career with Royal Dutch/Shell where he was appointed CFO of Shell Expro UK in 1993. In addition to the Unibail-Rodamco Supervisory Board membership  he is Vice Chairman of the Supervisory Board of Royal Imtech N.V. NS N.V. (Dutch Railways) and SBM Offshore N.V. and a member of the Supervisory Boards of Royal Vopak N.V.  Luchthaven Schiphol N.V. and Parcom Capital Management B.V. He is a member of the Capital Market Committee of the AFM (The Netherlands Financial Market Authority). Frans J.G.M. Cremers  born in 1952  is Dutch and holds a Masters in Business Economics and a Ph. D. in Business Finance; both from the Erasmus University Rotterdam.		http://www.unibail-rodamco.com/W/do/centre/supervisory-board
PIERRE_ANDRE_DE_CHALENDAR	de Chalendar	Pierre-André	12/4/1958	France	Vichy	M	Essec	Pierre-André de Chalendar né le 12 avril 1958 à Vichy (Allier)  est un chef d'entreprise français. Il est président-directeur général du Groupe Saint-Gobain depuis le 3 juin 2010 et son directeur général depuis juin 2007.	http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Pierre-Andr%C3%A9_de_Chalendar.jpg/400px-Pierre-Andr%C3%A9_de_Chalendar.jpg	http://fr.wikipedia.org/wiki/Pierre-Andr%C3%A9_de_Chalendar
CHARLES_DE_CROISSET	de Croisset	Charles	28/09/1943	France	New York	M	ENA	Charles Wiener de Croisset  né le 28 septembre 1943 à New York  est un administrateur français d'entreprises cotées au CAC 40.	http://referentiel.nouvelobs.com/file/2706828.jpg	http://fr.wikipedia.org/wiki/Charles_de_Croisset
MICHEL_DE_FABIANI	de Fabiani	Michel	17/06/1945	France	Lyon	M	HEC	Michel de Fabiani was the first Frenchman to become Vice President  in 2005 and again in 2009  of the Franco-British Chamber of Commerce and Industry  an institution founded in 1873 to promote and develop business and trade between France and the UK.	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/Fabiani.jpg	http://www.valeo.com/en/the-group/governance/michel-de-fabiani.html
AMAURY_DE_SEZE	de Seze	Amaury	7/5/1946	France	Paris	M	IHEDN	Daniel Amaury de Seze ou Daniel Amaury de Sèze  né en 1946  est un administrateur d'entreprises cotées sur le CAC 40 et est actuellement administrateur du groupe Carrefour. Il fut auditeur à l’Institut des hautes études de défense nationale (IHEDN) en 1982-1983.	http://www.carrefour.com/static/cdc/rapport-interactif-2011/images/bleu/amaury-de-seze.jpg	http://fr.wikipedia.org/wiki/Amaury_de_Seze
YVES_THIBAULT_DE_SILGUY	de Silguy	Yves-Thibault	22/07/1942	France	Renne	M	ENA	Yves-Thibault de Silguy  né le 22 juillet 1949 (65 ans) à Rennes  est un haut fonctionnaire et homme d'affaires français. Il est actuellement membre du conseil des affaires étrangères auprès du Ministère et Président du comité France-Qatar au sein du MEDEF International.	http://www.vinci.com/commun/biographies.nsf/EF1A9BCE2583E55FC12568AF00486D26/$file/yves-thibault-de-silguy.jpg	http://fr.wikipedia.org/wiki/Yves-Thibault_de_Silguy
YANN_DELABRIERE	Delabriere	Yann				M	ENA		http://dirigeants-entreprise.com/wp-content/uploads/2012/09/Yann-Delabri%C3%A8re.png	http://yann-delabriere.dirigeants-entreprise.com/faurecia/yann-delabriere/
ODILE_DESFORGES	Desforges	Odile	24/01/1950	France	Rouen	F	École Centrale Paris	Née en 1950 à Rouen  Odile Desforges est Ingénieur de l'Ecole Centrale de Paris  promotion 1973. Elle débute sa carrière à l'Institut de recherche des transports  en tant que chargée d'études. Elle rejoint le groupe Renault en 1981  comme chargée d'études à la direction de la planification automobile  avant de devenir ingénieur produit sur la R19  puis ingénieur produit gamme M1 (1984-1986). Elle entre en 1986 à la direction des achats  comme chef de section équipements extérieurs  puis est nommée Directeur des achats équipement de carrosserie successivement  en  1992  au sein du GIE Renault VOLVO Car Purchasing puis à la direction des achats Renault en 1994. En mars 1999  elle devient Directeur Général Adjoint du groupe Renault VI–Mack  en charge de 3P (Product Planning  Product Development  Purchasing  Project). En janvier 2001  elle est nommée Présidente de la Business Unit 3P du groupe AB Volvo.	http://www.sequana.com/wp-content/uploads/2013/07/OD_ComEx_168x130.jpg	https://sites.google.com/site/histoiregrouperenault/manifestations-evenements/2013-02-conference-d-odile-desforges/biographie-odile-desforges
PAUL_DESMARAIS_JR	Desmarais	Paul	3/7/1954	Canada	Montréal	M	McGill University	Paul Desmarais  Jr.  OC  OQ (born July 3  1954) is a Canadian businessman in his hometown of Montreal.	http://knowledge.insead.edu/sites/www.insead.edu/files/images/ceo_views_-_paul_desmarais_jr.jpg	http://en.wikipedia.org/wiki/Paul_Desmarais,_Jr.
THIERRY_DESMAREST	Desmaret	Thierry	18/12/1945	France	Paris	M	École polytechnique	Thierry Desmarest  né le 18 décembre 1945 à Paris  est un chef d'entreprise français  actuellement président d'honneur du groupe Total SA.	http://static.ladepeche.fr/content/media/image/zoom/2012/02/22/201202221337.jpg	http://fr.wikipedia.org/wiki/Thierry_Desmarest
LAURENCE_DORS	Dors	Laurence				M	ENA	Laurence Dors  cinquante-quatre ans  ancienne élève de l'Ecole normale supérieure et de l'ENA  commence en 1983 au ministère des Finances. Appelée en 1994 au cabinet d'Edmond Alphandéry pour y suivre les questions de commerce extérieur  elle rejoint en 1995 celui du Premier ministre Alain Juppé comme responsable des affaires économiques internationales. Sous-directeur à la DREE de 1997 à 1998  elle intègre alors la direction internationale de Lagardère puis d'Aérospatiale-Matra. Nommée en 2000 secrétaire général d'EADS International  elle devient trois ans plus tard secrétaire général du groupe EADS. En 2008  elle avait été recruté par Dassault Systèmes comme directeur général adjoint  chargé du développement global. Et c'est en mars dernier qu'elle avait été appelée au comité exécutif de Renault.	http://www.zepros.fr/crop/timthumb.php?src=img_articles/images/articles/Auto/old/img_articles/2585_0.jpg&w=200&zc=1	
JOSE_LUIS_DURAN	Duran	José Luis	1964	Spain		M	Universidad Pontifica Comillas de Madrid	Member of Unibail-Rodamco's Supervisory Board and its Governance  Nomination and Remuneration Committee since April 27  2011. Former Chairman and CEO of Carrefour SA. Former board member of HSBC Holdings. In addition to his Unibail-Rodamco Supervisory Board membership  his other current functions include: Chairman of the Management Board and CEO of Devanlay SA  CEO and board member of Lacoste SA  Chairman of the board of Gant Holding AB and a board member of Orange SA. He holds a Bachelor of Economics and Management from the Universidad Pontifica Comillas de Madrid. José Luis Duran  born in 1964  is Spanish.		http://www.unibail-rodamco.com/W/do/centre/supervisory-board
SOPHIE_DUTORDOIR	Dutordoir	Sophie		Belgique		M	University of Ghent - Economische Hogeschool Sint-Aloysius 	Sophie Dutordoir is an independent director of BNP Paribas Fortis and BPost in Belgium.	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/vignette1.jpg	http://www.valeo.com/en/the-group/governance/sophie-dutordoir-independent-director.html
CHARLES_HENRI_FILIPPI	Filippi	Charles-Henri	15/08/1952	France	Boulogne-Billancourt	M	ENA	Charles-Henri Filippi  né le 15 août 1952  est membre du conseil d'administration de "L'Oréal".	http://www.weinbergcapital.com/pics_bdd/annexe_visuel/1254911541_091005_photo_chf_couleur.jpg	http://fr.wikipedia.org/wiki/Charles-Henri_Filippi
JEAN_MARTIN_FOLZ	Folz	Jean-Martin	11/1/1947	France	Strabourg	M	École polytechnique		http://www.journaldunet.com/economie/dirigeants/retraites-supplementaires-complementaires-patrons/jean-martin-folz.jpg	http://fr.wikipedia.org/wiki/Jean-Martin_Folz
XAVIER_FONTANET	Fontanet	Xavier		France		M	École des Ponts ParisTech	Xavier Fontanet est un chef d'entreprise français. Il est membre du conseil d'administration du Groupe l'Oréal  Schneider Electric et du Centre des Professions Financières1 depuis 2014.	http://www.lejournaldesentreprises.com/images/2012/01/05/140875_xavierfontanet-20111222-jd381.jpg	
JEAN_MARC_FORNERI	Forneri	Jean-Marc	23/07/1959	France		M	Sciences Po Paris - ENA	Jean Marc Forneri est né le 23 juillet 1959. Après avoir commencé des études de droit à Aix-en-Provence  il a gagné Paris pour les poursuivre et suivre également l’enseignement de l’Institut d’Etudes Politiques. Il est diplômé de l’IEP Paris  Maîtrise en droit  CAPA  élève à l’ENA. A l’issue de sa scolarité à l’ENA  il a choisi le corps de l’Inspection Générale des Finances. Il a été ensuite rapporteur de la Commission sur la fiscalité du Patrimoine  présidée par Maurice Aicardi et rattachée à Edouard Balladur  Ministre d’Etat  Ministre de l’Economie et des Finances.	http://www.bucephale-finance.com/img/photos/jean-marc-forneri.jpg	http://fr.wikipedia.org/wiki/Jean-Marc_Forneri
JEAN_RENE_FOURTOU	Fourtou	Jean-René	20/06/1939	France	Libourne	M	École Polytechnique	Jean-René Fourtou  né le 20 juin 1939 à Libourne  est un homme d'affaires français  président d'honneur du conseil de surveillance de Vivendi  et président de la fondation Bordeaux Université depuis sa création en décembre 2009.	http://referentiel.nouvelobs.com/file/6353413-jean-rene-fourtou-a-vivendi-le-combat-de-trop.jpg	http://fr.wikipedia.org/wiki/Jean-Ren%C3%A9_Fourtou
ALBERT_FRERE	Frere	Albert	4/2/1926	Belgique	Fontaine-l'Évêque	M		Albert Frère  né le 4 février 1926 à Fontaine-l'Évêque en Belgique  est un homme d'affaires et milliardaire considéré comme la personne la plus riche de Belgique. Il est marié et père de 3 enfants  dont Gérald Frère.	http://images15.levif.be/images/resized/119/477/453/408/5/500_0_KEEP_RATIO_SHRINK_CENTER_FFFFFF/image/Albert-Fr-re-.jpg	http://fr.wikipedia.org/wiki/Albert_Fr%C3%A8re
IAN_GALIENNE	Galienne	Ian	23/01/1971	France	Boulogne-Billancourt	M	INSEAD	Mr. Ian Gallienne has been the Managing Director of Groupe Bruxelles Lambert SA since January 1  2012. Mr. Gallienne is a Co-Founder and Partner of Ergon Capital Partners I  Ergon Capital Partners II and Ergon Capital Partners III. He serves as Managing Director of Ergon Capital Partners II and Ergon Capital Partners III. He Founded Ergon Capital Partners in 2005 and served as its Managing Director until 2012. He started the Gallienne in 2005.	http://www.ergoncapital.com/img/ian_gallienne.png	http://investing.businessweek.com/research/stocks/people/person.asp?personId=8164446&ticker=GBLB:BB
PATRICK_GANDIL	Gandil	Patrick	29/03/1956	France	Talence	M	École Polytechnique - ENPC		http://www.ambafrance-cn.org/IMG/jpg/gandil.jpg?32658/df36bbd167b615d2c471bd2506df95d79345f4b8	http://www.ambafrance-cn.org/Biographie-de-M-Patrick-Gandil
MARION_GUILLOU	Guillou	Marion	17/09/1954	France	Marseille	F	École polytechnique	Marion Guillou  née Charpin le 17 septembre 1954 à Marseille  est une agronome française  spécialiste de la sécurité alimentaire mondiale. Elle préside aujourd'hui Agreenium  l'institut français de coopération en Agro-Sciences. Elle a été présidente directrice générale de l'Institut national de la recherche agronomique (INRA) de 2004 à 2012. À ce titre  elle a œuvré à réconcilier agriculture  alimentation et environnement. Elle a présidé le conseil d'administration de l'École polytechnique de 2008 à 2013.	http://ccafs.cgiar.org/sites/default/files/assets/images/guillou-hi.jpg	http://fr.wikipedia.org/wiki/Marion_Guillou
CHRISTIAN_HALARY	Halary	Christian		France		M				http://investing.businessweek.com/research/stocks/people/person.asp?personId=51046603&ticker=SAF:FP&previousCapId=1452891&previousTitle=AREVA
MARY_HARRIS	Harris	Mary	1966	UK		F	Harvard Business School - Oxford University	Member of Unibail-Rodamco's Supervisory Board and its Governance  Nomination & Remuneration Committee since April 29  2008. Mrs. Harris holds a Masters Degree in Politics  Philosophy and Economics from Harvard Business School and a Masters Degree in Business Administration from Oxford University. She was Consultant and Partner at McKinsey & Cie in London  Amsterdam  China and South East Asia. She held positions at Pepsi Beverages  Goldman Sachs and at private equity/venture capital firms. She is currently member of the Supervisory Board and Audit Committee and Chair of the Remuneration and Strategy Committee of TNT Express N.V.  a Non-Executive Director  Chair of the Remuneration Committee and member of the Nomination and Corporate Responsibility Committees of J Sainsbury plc and a member of the Supervisory Board of Scotch and Soda N.V. Mrs. Mary Harris  born in 1966  is British.		http://www.unibail-rodamco.com/W/do/centre/supervisory-board
GERARD_HAUSER	Hauser	Gérard				M				
PAUL_HERMELIN	Hermelin	Paul	30/04/1952	Belgique	Etterbeek	M	École Polytechnique	Paul Hermelin est président-directeur général de Capgemini  d'origine belge  né le 30 avril 1952 à Etterbeek (Belgique). Il a grandi en Avignon. (Dans le quartier populaire de Monclar)	http://www.isbtt.com/wp-content/uploads/2013/05/523435-9e-paul-hermelin-a-vendu-1-766-million-d-actions-cap-gemini-en-2009.jpg	http://fr.wikipedia.org/wiki/Paul_Hermelin
JEAN_PAUL_HERTEMAN	Herteman	Jean-Paul	13/11/1950	France	Saint-Cloud	M	École polytechnique - École nationale supérieure de l'aéronautique et de l'espace	Né en 1950  Jean-Paul Herteman est un ancien élève de l’École polytechnique (Promotion 1970). À la sortie  il choisit le corps de l'armement et suit en école d'application l'École nationale supérieure de l'aéronautique et de l'espace (SUPAERO)  dont il est diplômé en 1975.	http://blog.lefigaro.fr/aeronautique/Safran%20PDG%20Jean-Paul%20Herteman%20-%20Copyright%20St%C3%A9phane%20de%20Bourgies%20Abaca%20press.JPG	http://fr.wikipedia.org/wiki/Jean-Paul_Herteman
BERNARD_HOURS	Hours	Bernard	5/5/1956	France	Strasbourg	M	HEC	Bernard Hours est directeur général délégué de Danone et siège au Conseil d’administration de la société  aux côtés  entre autres  de Franck Riboud et d’Emmanuel Faber. Il est également membre du Comité exécutif. Il est français et né en 1956.	http://www.essilor.com/fr/Groupe/Gouvernance/ConseilAdministration/PublishingImages/Bernard%20Hours.jpg	http://fr.wikipedia.org/wiki/Bernard_Hours_(Homme_d'affaires)
ANNE_MARIE_IDRAC	Idrac	Anne-Marie	27/07/1951	France	Saint-Brieuc	F	Sciences Po Paris	Anne-Marie Idrac  née Anne-Marie Colin le 27 juillet 1951 à Saint-Brieuc (Côtes-d'Armor)  est une dirigeante d'entreprises et femme politique française. Elle a été notamment secrétaire d’État aux Transports de 1995 à 1997  députée de 1997 à 2002  présidente de la RATP  puis de la SNCF  secrétaire d'État chargée du Commerce extérieur auprès de la ministre de l'Économie  de l'Industrie et de l'Emploi dans le second gouvernement François Fillon du 18 mars 2008 au 13 novembre 2010. Elle est  depuis 2011  administrateur de sociétés et consultante.	http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Anne-Marie_IDRAC1.jpg/220px-Anne-Marie_IDRAC1.jpg	http://fr.wikipedia.org/wiki/Anne-Marie_Idrac
VINCENT_IMBERT	Imbert	Vincent		France		M				
FRANCOIS_HENRI_JACLOT	Jaclot	François-Henri	1949	France		M	ENA - ENSAE - Sciences Po Paris	Vice Chairman of Unibail-Rodamco's Supervisory Board and Chairman of the Audit Committee since June 25  2007. Treasury auditor (Inspecteur des Finances) and graduate of ENA and the Institut d'Etudes Politiques. Holds a Masters degree in Mathematics  and is a graduate of Ecole Nationale de Statistiques et d'Administration Economique (ENSAE). Former director of Unibail S.A. (2003-2007). Former board member of Suez  M6  Eurotunnel  GMT and former CFO to Larfarge  Suez and Inbev (ex Interbrew). In addition to the Unibail-Rodamco Supervisory Board membership  other current functions include: director and CEO of AOG (Addax & Oryx Group) and Managing Director of FJ Consulting. François Jaclot  born in 1949  is French.		http://www.unibail-rodamco.com/W/do/centre/supervisory-board
MICHAEL_JAY	Jay	Michael	19/06/1946	UK		M	Oxford	Michael Jay is an independent member of the House of Lords in the UK.	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/Jay.jpg	http://www.valeo.com/en/the-group/governance/michael-jay.html
ISABELLE_KOCHER	Kocher	Isabelle	9/12/1966	France	Neuilly-sur-Seine	F	École Normale Supérieure	Isabelle Kocher  née le 9 décembre 1966  est directeur général adjoint  chargée des finances du Groupe GDF Suez. Dirigeante d'entreprise. Diplômée de l’École Normale Supérieure de la rue d’Ulm  ingénieur du Corps des Mines et titulaire d’un DEA d’optique quantique et d’une agrégation de physique. Membre du Conseil d'Administration de GDF Suez  d'Axa et d’International Power. Elle est une des favorites pour succéder à Gérard Mestrallet et ainsi devenir la première femme dirigeante d'une des plus grosses entreprises du CAC 40.	http://www.lefigaro.fr/medias/2007/11/28/701747ca-9d18-11dc-a1f2-88e576b1c5ec.jpg	http://fr.wikipedia.org/wiki/Isabelle_Kocher
